cuisine,name,num_reviews,price,stars
,Garfunkels - Irving Street,0,39.5,5
Indian,Chettinad Restaurant,1,N\A,2
Scandinavian,Scandinavian Kitchen,1,30.0,3.5
"Spanish, Tapas",Barrica,15,39.5,4
,Timmy Green,0,39.5,5
Bars,Retro Bar,0,N\A,5
,The Lounge at The Cavendish (afternoon tea),0,30.0,5
Mexican,Benito's Hat - Goodge Street,0,30.0,5
"Bars, British",May Fair Bar,1,39.5,5
British,St James Brasserie & Bar ,0,39.5,5
"Chinese, Szechuan",Barshu Restaurant,18,N\A,3
"Bars, Gastropub",The Red Lion Westminster,0,39.5,5
"Afternoon tea, Modern European",Arthur's Restaurant,0,39.5,5
West African,Akoko,0,64.5,5
Italian,IT London,0,64.5,5
"Bars, International",Hubbard & Bell,3,39.5,3.5
Modern European,Rochelle Canteen at The ICA,0,30.0,5
Italian,Pastaio,1,30.0,5
Bars,G-A-Y,0,N\A,5
Modern European,Covent Garden Kitchen,0,N\A,5
"Chinese, Szechuan",JinLi Chinatown,0,N\A,5
Spanish,La Tasca Spanish Tapas Bar and Kitchen - St Martin's Lane,0,N\A,5
Bars,"The Garden Bar, Champagne Terrace at The Ritz London",0,N\A,5
Bars,Black Dice,0,N\A,5
"Japanese, Sushi",Ichi-Riki Sushi House,1,39.5,4
Bars,Churchill’s Port House,0,N\A,5
Bars,Dukes Bar at Dukes Hotel,1,N\A,4.5
Bars,The Takeover Bar & Club,0,N\A,5
Bars,Soho Grind,0,30.0,5
British,The Cellarium Cafe and Terrace,1,N\A,4
,Notes Trafalgar Square,0,N\A,5
"Japanese, Sushi",Kiku,5,39.5,3.5
Bars,Bunga Bunga Covent Garden,2,N\A,4.5
"Afternoon tea, International",The Palm Court at The Ritz Hotel (afternoon tea),3,N\A,3.5
International,Park Row,0,N\A,5
Wine Bars,Dalla Terra,6,64.5,4.5
Belgian,Belgo Centraal,4,39.5,3
Bars,The Bar at the Athenaeum Hotel,0,N\A,5
Bars,Ku,0,N\A,5
Bars,New Evaristo,0,N\A,5
Japanese,Sasuke Great Windmill Street,0,30.0,5
Italian,Novikov - Italian Restaurant,8,80.0,3
Bars,Mews of Mayfair Lounge Bar,4,N\A,3.5
Greek,The Life Goddess - Deli Divine,4,N\A,3
Japanese,Wagamama Cardinal Walk,0,39.5,5
Chinese,Joy King Lau,2,39.5,4
"Japanese, Sushi",Yoshino,5,39.5,3.5
,Royal Quarter Cafe,5,30.0,2.5
Chinese,Firecracker,0,N\A,5
"Spanish, Tapas",Dehesa,6,39.5,4.5
Bars,Spritz Bar at Ape & Bird,0,N\A,5
"Afternoon tea, International",Mariage Frères,1,64.5,2.5
Modern European,Andrew Edmunds,22,39.5,3
Italian,Brazen Monkey Karaoke,0,N\A,5
Modern European,Carrara at St James ,0,39.5,5
Pubs,Lamb & Flag,2,N\A,3.5
"Mexican, Peruvian",Leicester Square Kitchen,0,30.0,5
Bars,"The Slug and Lettuce, Hanover Street",1,N\A,5
Modern European,Stanhope Bar & Restaurant,0,N\A,5
Thai,Wild Rice and Mamasan,2,N\A,5
"Brazilian, Japanese",Yoobi Oxford Circus,0,30.0,5
Japanese,Yamagoya,0,30.0,5
Bars,Courthouse Doubletree Bar,0,N\A,5
Pubs,The Sun & 13 Cantons ,0,39.5,5
International,Scarlett Green,0,30.0,5
"Afternoon tea, British, Modern European",sketch: Gallery,8,80.0,3.5
Bars,Mr Fogg's Society of Exploration ,0,N\A,5
"Ice Cream, International",My Old Dutch,1,30.0,0.5
,Clifford's Restaurant,0,64.5,5
British,Sussex Restaurant,0,39.5,5
"British, Modern European",The Natural Kitchen New Street Square,0,39.5,5
,Tapped & Packed - Rathbone Place,0,30.0,5
,Thai Square Covent Garden,0,N\A,5
Fish,Randall & Aubin,10,39.5,4
Mediterranean,Comida Bar and Restaurant,0,N\A,5
Indian,Darjeeling Express,2,30.0,4
Italian,Downtown Mayfair London,0,64.5,5
"Italian, Pizza",Circolo Popolare,1,39.5,5
Japanese,Tokimeite,1,64.5,4
Bars,Belgo Holborn,2,30.0,4.5
Lebanese,Kaslik,0,N\A,5
"British, International",Slug & Lettuce - Hanover Street,0,39.5,5
Taiwanese,Bao Fitzrovia,3,30.0,3.5
British,Hide Above,6,80.0,2.5
,Fleet River Bakery,0,30.0,5
Spanish,Sabor: El Asador,3,39.5,5
"Spanish, Tapas",Barrafina Dean Street,28,39.5,5
Italian,Pane Cunzato,0,39.5,5
,Ziggy's Bar at Hotel Cafe Royal,0,39.5,5
,Zizzi Victoria,1,N\A,3
Mexican,Chipotle - St Martin's Lane,0,30.0,5
Indian,Sagar Covent Garden,0,30.0,5
Bars,Be at One Soho Greek Street,0,N\A,5
Fish,Caviar House & Prunier,0,64.5,5
,Bourne & Hollingsworth Garden Room,0,64.5,5
Sushi,YO! Sushi Woodstock Street,0,39.5,5
British,Afternoon Tea @Café L'oscar,0,80.0,5
Italian,Vapiano - Great Portland Street,2,30.0,4
,Ladurée Burlington Arcade,1,30.0,4.5
Gastropub,The Queen's Head - Denman Street,4,39.5,3.5
Bars,Bassoon,0,N\A,5
"Spanish, Tapas",Barrafina Drury Lane,5,39.5,3
International,Leon Strand,0,39.5,5
Bars,The Shenkman Bar and Garden,0,30.0,5
Japanese,Hannah Japanese Restaurant,0,80.0,5
Fish,J Sheekey Atlantic Bar,8,39.5,5
"British, French",Cora Pearl,4,64.5,5
International,Rail House Café,2,39.5,4
"Chinese, Dim Sum",Yauatcha Soho,51,64.5,5
Italian,Spaghetti House Argyll Street,0,30.0,5
,Greyhound Café,1,39.5,4
Bars,Purple Bar at Sanderson hotel,0,N\A,5
Bars,Jerusalem Bar & Kitchen,2,39.5,2.5
,Royal Academy Grand Cafe,1,39.5,2
"Argentinian, South American, Steak",Gaucho Charlotte Street,2,64.5,5
Indian,Bristol Bawarchi,0,39.5,5
,Cakes & Bubbles at Hotel Cafe Royal,0,64.5,5
International,Frankie & Benny's Argyll Street,0,30.0,5
Pubs,The Queen's Larder,0,N\A,5
Dim Sum,Ping Pong Soho,4,39.5,3.5
"Italian, Pizza",Pizza Express Southampton Row,1,39.5,2
Bars,Temple Brew House,0,39.5,5
British,The Loose Box Bar and Kitchen,1,N\A,3.5
British,Frog by Adam Handling,12,39.5,5
Steak,Blacklock Covent Garden,0,39.5,5
Lebanese,Hiba Express Lebanese Restaurant,1,N\A,5
Hotel Bars,The Roof Terrace at Sanctum Soho,1,N\A,5
,Afternoon Tea at The Waldorf Hilton,0,64.5,5
Bars,Oscar (bar) at the Charlotte Street Hotel,0,N\A,5
"Fish, Fish and Chips",Gigs Fish Bar & Kebab House,0,30.0,5
"Bars, Pizza",The Escapologist,2,N\A,4
"Chinese, Dim Sum",Ping Pong Covent Garden,1,39.5,4
French,Labels Restaurant,0,N\A,5
Middle Eastern,The Halal Guys Leicester Square,0,30.0,5
Indian,Rasa,2,39.5,4
"Italian, Pizza",Pizza Pilgrims Covent Garden,2,30.0,5
"Greek, Mediterranean",Bistro 1 - Beak Street,0,N\A,5
"Italian, Pizza",Pizza Pilgrims Soho,3,39.5,4.5
"Burgers, International, Pizza",Fire & Stone,8,39.5,3
Indian,Strand Tandoori,0,N\A,5
"Barbecue, South American, Steak",Temper Covent Garden,1,39.5,5
Indian,Little Kolkata,0,39.5,5
Peruvian,Coya Mayfair,26,64.5,4.5
Mediterranean,Mo Diner,0,39.5,5
Japanese,Wagamama Irving Street,1,39.5,2
,The Terrace Grill and Bar at Le Meridien (afternoon tea),1,30.0,4
Indian,Bombay Bustle,4,39.5,4
Indian,Tandoori Nights - Covent Garden,0,N\A,5
Lebanese,Maroush Live Entertainment,0,N\A,5
"Chinese, Indian, International, Middle Eastern, Pan-Asian",The Restaurant at Palm Beach,1,64.5,1
International,Giraffe Southbank Centre,0,39.5,5
"Bars, Italian",La Goccia,0,39.5,5
International,Rainforest Cafe,1,39.5,5
Bars,10 Degrees Bar at Galvin at Windows,8,N\A,3
"Bars, Scandinavian",Nordic,1,N\A,5
Italian,Norris's,0,N\A,5
Bars,Karaoke Box Mayfair,0,N\A,5
,Kahve Dunyasi,0,30.0,5
International,Frankie & Benny's - Aldwych,0,39.5,5
"Italian, North American",Marco’s New York Italian at the Mercure London Bloomsbury Hotel,0,39.5,5
,The Library at St Ermin's Hotel (afternoon tea),0,30.0,5
Greek,Suvlaki,2,39.5,2.5
"International, Vegan",By CHLOE Oxford Circus,0,30.0,5
Pubs,The Adam & Eve,0,N\A,5
Bars,Simmons Soho,0,N\A,5
,Pennethorne’s Café Bar,0,N\A,5
,Café Le Cordon Bleu,2,30.0,4.5
Greek,Estiatorio Milos,10,64.5,3
"Afternoon tea, British",Hide Ground,3,64.5,2.5
Italian,Augustus Harris,0,39.5,5
"British, International",Slug & Lettuce - Victoria,0,39.5,5
Moroccan,Mamounia Lounge,5,39.5,2.5
Indian,Bhatti,0,N\A,5
Korean,Myung Ga,7,39.5,2
"Italian, Pizza",Pizza Express Bruton Place,0,39.5,5
,Gail's Bloomsbury,0,N\A,5
British,Papillon at Hotel Cafe Royal,0,N\A,5
Chinese,Master Wei ,1,30.0,5
